SERNO,END_INSTANCE,END_CLOCK,START_CLOCK,START_INSTANCE,CDC_TYPE,SYNCHRONIZER,NUMBER_OF_SYNCHRONIZER_FFs,SAFE_CDC,DESCRIPTION
1,Main_0.RS4GpsGps_TxGps.IBufTxInProgress_i.Temp1,FCCC_C0_FCCC_C0_0_FCCC|GL1_net_inferred_clock,ClockDividerPorts_work_main_architecture_main_0layer1_0|div_i_inferred_clock,Main_0.RS4GpsGps_TxGps.UartTxUart.Busy_i,Different Clock Domains,YES,2,NO,Divergence detected in the crossover path.
2,Main_0.RS4GpsGps_TxGps.UartTxUart.TxD,ClockDividerPorts_work_main_architecture_main_0layer1_0|div_i_inferred_clock,FCCC_C0_FCCC_C0_0_FCCC|GL1_net_inferred_clock,Main_0.RS4GpsGps_TxGps.UartTxFifo.fifo_i.data_r[7:0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing.
3,Main_0.RS4GpsGps_TxGps.IBufStartTx.Temp1,ClockDividerPorts_work_main_architecture_main_0layer1_0|div_i_inferred_clock,FCCC_C0_FCCC_C0_0_FCCC|GL1_net_inferred_clock,Main_0.RS4GpsGps_TxGps.StartTx,Different Clock Domains,YES,2,YES,Safe CDC path detected.
4,Main_0.RxdGps_RxGps.UartFifo.fifo_i.ram[7:0],FCCC_C0_FCCC_C0_0_FCCC|GL1_net_inferred_clock,ClockDividerPorts_work_main_architecture_main_2layer1|div_i_inferred_clock,Main_0.RxdGps_RxGps.Uart.Uart.DataO[7:0],Different Clock Domains,NO,0,NO,No synchronizer circuit detected.
5,Main_0.RxdGps_RxGps.ClkSyncWrite.Temp1,FCCC_C0_FCCC_C0_0_FCCC|GL1_net_inferred_clock,ClockDividerPorts_work_main_architecture_main_2layer1|div_i_inferred_clock,Main_0.RxdGps_RxGps.Uart.Uart.RxAv,Different Clock Domains,YES,2,NO,Divergence detected in the crossover path.
6,Main_0.RxdGps_RxGps.Uart.Uart.DataO[7:0],ClockDividerPorts_work_main_architecture_main_2layer1|div_i_inferred_clock,FCCC_C0_FCCC_C0_0_FCCC|GL1_net_inferred_clock,Main_0.BootupReset.shot_i,Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Enable signal for synchonizer registers does not have a safe crossing.
7,Main_0.RxdGps_RxGps.Uart.Uart.RReg[7:0],ClockDividerPorts_work_main_architecture_main_2layer1|div_i_inferred_clock,FCCC_C0_FCCC_C0_0_FCCC|GL1_net_inferred_clock,Main_0.BootupReset.shot_i,Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Enable signal for synchonizer registers does not have a safe crossing.
8,Main_0.RxdGps_RxGps.Uart.Uart.samplecnt[3:0],ClockDividerPorts_work_main_architecture_main_2layer1|div_i_inferred_clock,FCCC_C0_FCCC_C0_0_FCCC|GL1_net_inferred_clock,Main_0.BootupReset.shot_i,Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Divergence detected in the crossover path. Enable signal for synchonizer registers does not have a safe crossing.
9,Main_0.RxdGps_RxGps.Uart.ClkSyncRxd.Temp1,ClockDividerPorts_work_main_architecture_main_2layer1|div_i_inferred_clock,FCCC_C0_FCCC_C0_0_FCCC|GL1_net_inferred_clock,Main_0.IBufRxdGps.O,Different Clock Domains,YES,2,YES,Safe CDC path detected.
10,Main_0.RS4UsbUsb_TxUsb.IBufTxInProgress_i.Temp1,FCCC_C0_FCCC_C0_0_FCCC|GL1_net_inferred_clock,ClockDividerPorts_work_main_architecture_main_0layer1_1|div_i_inferred_clock,Main_0.RS4UsbUsb_TxUsb.UartTxUart.Busy_i,Different Clock Domains,YES,2,NO,Divergence detected in the crossover path.
11,Main_0.RS4UsbUsb_TxUsb.UartTxUart.TxD,ClockDividerPorts_work_main_architecture_main_0layer1_1|div_i_inferred_clock,FCCC_C0_FCCC_C0_0_FCCC|GL1_net_inferred_clock,Main_0.RS4UsbUsb_TxUsb.UartTxFifo.fifo_i.data_r[7:0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing.
12,Main_0.RS4UsbUsb_TxUsb.IBufStartTx.Temp1,ClockDividerPorts_work_main_architecture_main_0layer1_1|div_i_inferred_clock,FCCC_C0_FCCC_C0_0_FCCC|GL1_net_inferred_clock,Main_0.RS4UsbUsb_TxUsb.StartTx,Different Clock Domains,YES,2,YES,Safe CDC path detected.
13,Main_0.RxdUsb_RxUsb.UartFifo.fifo_i.ram[7:0],FCCC_C0_FCCC_C0_0_FCCC|GL1_net_inferred_clock,ClockDividerPorts_work_main_architecture_main_1layer1|div_i_inferred_clock,Main_0.RxdUsb_RxUsb.Uart.Uart.DataO[7:0],Different Clock Domains,NO,0,NO,No synchronizer circuit detected.
14,Main_0.RxdUsb_RxUsb.ClkSyncWrite.Temp1,FCCC_C0_FCCC_C0_0_FCCC|GL1_net_inferred_clock,ClockDividerPorts_work_main_architecture_main_1layer1|div_i_inferred_clock,Main_0.RxdUsb_RxUsb.Uart.Uart.RxAv,Different Clock Domains,YES,2,NO,Divergence detected in the crossover path.
15,Main_0.RxdUsb_RxUsb.Uart.Uart.DataO[7:0],ClockDividerPorts_work_main_architecture_main_1layer1|div_i_inferred_clock,FCCC_C0_FCCC_C0_0_FCCC|GL1_net_inferred_clock,Main_0.BootupReset.shot_i,Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Enable signal for synchonizer registers does not have a safe crossing.
16,Main_0.RxdUsb_RxUsb.Uart.Uart.RReg[7:0],ClockDividerPorts_work_main_architecture_main_1layer1|div_i_inferred_clock,FCCC_C0_FCCC_C0_0_FCCC|GL1_net_inferred_clock,Main_0.BootupReset.shot_i,Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Enable signal for synchonizer registers does not have a safe crossing.
17,Main_0.RxdUsb_RxUsb.Uart.Uart.samplecnt[3:0],ClockDividerPorts_work_main_architecture_main_1layer1|div_i_inferred_clock,FCCC_C0_FCCC_C0_0_FCCC|GL1_net_inferred_clock,Main_0.BootupReset.shot_i,Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Divergence detected in the crossover path. Enable signal for synchonizer registers does not have a safe crossing.
18,Main_0.RxdUsb_RxUsb.Uart.ClkSyncRxd.Temp1,ClockDividerPorts_work_main_architecture_main_1layer1|div_i_inferred_clock,FCCC_C0_FCCC_C0_0_FCCC|GL1_net_inferred_clock,Main_0.IBufRxdUsb.O,Different Clock Domains,YES,2,NO,Divergence detected in the crossover path.
19,Main_0.RS433_Tx3.IBufTxInProgress_i.Temp1,FCCC_C0_FCCC_C0_0_FCCC|GL1_net_inferred_clock,ClockDividerPorts_work_main_architecture_main_0layer1_2|div_i_inferred_clock,Main_0.RS433_Tx3.UartTxUart.Busy_i,Different Clock Domains,YES,2,NO,Divergence detected in the crossover path.
20,Main_0.RS433_Tx3.UartTxUart.TxD,ClockDividerPorts_work_main_architecture_main_0layer1_2|div_i_inferred_clock,FCCC_C0_FCCC_C0_0_FCCC|GL1_net_inferred_clock,Main_0.RS433_Tx3.UartTxFifo.fifo_i.data_r[7:0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing.
21,Main_0.RS433_Tx3.IBufStartTx.Temp1,ClockDividerPorts_work_main_architecture_main_0layer1_2|div_i_inferred_clock,FCCC_C0_FCCC_C0_0_FCCC|GL1_net_inferred_clock,Main_0.RS433_Tx3.StartTx,Different Clock Domains,YES,2,YES,Safe CDC path detected.
22,Main_0.RS433_Rx3.UartFifo.fifo_i.ram[7:0],FCCC_C0_FCCC_C0_0_FCCC|GL1_net_inferred_clock,VariableClockDividerPorts_work_main_architecture_main_0layer1_0|clko_i_inferred_clock,Main_0.RS433_Rx3.Uart.Uart.DataO[7:0],Different Clock Domains,NO,0,NO,No synchronizer circuit detected.
23,Main_0.RS433_Rx3.ClkSyncWrite.Temp1,FCCC_C0_FCCC_C0_0_FCCC|GL1_net_inferred_clock,VariableClockDividerPorts_work_main_architecture_main_0layer1_0|clko_i_inferred_clock,Main_0.RS433_Rx3.Uart.Uart.RxAv,Different Clock Domains,YES,2,NO,Divergence detected in the crossover path.
24,Main_0.RS433_Rx3.Uart.Uart.DataO[7:0],VariableClockDividerPorts_work_main_architecture_main_0layer1_0|clko_i_inferred_clock,FCCC_C0_FCCC_C0_0_FCCC|GL1_net_inferred_clock,Main_0.BootupReset.shot_i,Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Enable signal for synchonizer registers does not have a safe crossing.
25,Main_0.RS433_Rx3.Uart.Uart.RReg[7:0],VariableClockDividerPorts_work_main_architecture_main_0layer1_0|clko_i_inferred_clock,FCCC_C0_FCCC_C0_0_FCCC|GL1_net_inferred_clock,Main_0.BootupReset.shot_i,Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Enable signal for synchonizer registers does not have a safe crossing.
26,Main_0.RS433_Rx3.Uart.Uart.samplecnt[3:0],VariableClockDividerPorts_work_main_architecture_main_0layer1_0|clko_i_inferred_clock,FCCC_C0_FCCC_C0_0_FCCC|GL1_net_inferred_clock,Main_0.BootupReset.shot_i,Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Divergence detected in the crossover path. Enable signal for synchonizer registers does not have a safe crossing.
27,Main_0.RS433_Rx3.Uart.ClkSyncRxd.Temp1,VariableClockDividerPorts_work_main_architecture_main_0layer1_0|clko_i_inferred_clock,FCCC_C0_FCCC_C0_0_FCCC|GL1_net_inferred_clock,Main_0.IBufRxd3.O,Different Clock Domains,YES,2,YES,Safe CDC path detected.
28,Main_0.RS422_Tx2.IBufTxInProgress_i.Temp1,FCCC_C0_FCCC_C0_0_FCCC|GL1_net_inferred_clock,ClockDividerPorts_work_main_architecture_main_0layer1_3|div_i_inferred_clock,Main_0.RS422_Tx2.UartTxUart.Busy_i,Different Clock Domains,YES,2,NO,Divergence detected in the crossover path.
29,Main_0.RS422_Tx2.UartTxUart.TxD,ClockDividerPorts_work_main_architecture_main_0layer1_3|div_i_inferred_clock,FCCC_C0_FCCC_C0_0_FCCC|GL1_net_inferred_clock,Main_0.RS422_Tx2.UartTxFifo.fifo_i.data_r[7:0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing.
30,Main_0.RS422_Tx2.IBufStartTx.Temp1,ClockDividerPorts_work_main_architecture_main_0layer1_3|div_i_inferred_clock,FCCC_C0_FCCC_C0_0_FCCC|GL1_net_inferred_clock,Main_0.RS422_Tx2.StartTx,Different Clock Domains,YES,2,YES,Safe CDC path detected.
31,Main_0.RS422_Rx2.UartFifo.fifo_i.ram[7:0],FCCC_C0_FCCC_C0_0_FCCC|GL1_net_inferred_clock,VariableClockDividerPorts_work_main_architecture_main_0layer1_1|clko_i_inferred_clock,Main_0.RS422_Rx2.Uart.Uart.DataO[7:0],Different Clock Domains,NO,0,NO,No synchronizer circuit detected.
32,Main_0.RS422_Rx2.ClkSyncWrite.Temp1,FCCC_C0_FCCC_C0_0_FCCC|GL1_net_inferred_clock,VariableClockDividerPorts_work_main_architecture_main_0layer1_1|clko_i_inferred_clock,Main_0.RS422_Rx2.Uart.Uart.RxAv,Different Clock Domains,YES,2,NO,Divergence detected in the crossover path.
